Date,Open,High,Low,Close,Volume,SMAVG (15)
29/11/2019,151.48,152.4656,151.01,151.58,6284938,16081516
27/11/2019,152.3,152.5693,151.15,151.48,6166318,16865694
26/11/2019,151.75,153.41,150.61,151.64,24973012,17063436
25/11/2019,148.8,150.21,147.7,149.69,11329309,15892201
22/11/2019,147.21,149.44,146.68,148.29,9639428,15645699
21/11/2019,147.16,147.4703,146.26,146.9,6241359,15570242
20/11/2019,148.09,148.99,146.03,146.93,9451314,15796037
19/11/2019,148.18,149.48,146.8,148.38,11508726,15891286
18/11/2019,144.75,149.04,143.69,147.65,15356968,15744376
15/11/2019,147.14,147.2,144.21,144.67,13749344,15316599
14/11/2019,148,150.63,146.2765,147.15,28414284,14846378
13/11/2019,138.58,149.92,136.84,148.72,46491396,13404912
12/11/2019,138.03,139.34,136.74,138.58,17283988,10777197
11/11/2019,137.5,138.555,136.21,136.74,10144903,10327654
8/11/2019,140.22,140.25,136.74,137.96,24187456,10144067
7/11/2019,132.35,133.7,131.75,132.96,18047600,9111270
6/11/2019,131.6,131.66,130.66,131.27,9132465,8443899
5/11/2019,132.77,132.77,130.89,131.45,7404474,8346529
4/11/2019,134.12,134.14,132.47,132.92,7631780,8248716
1/11/2019,130.99,132.8,130.5111,132.75,8507567,7990132
31/10/2019,129.53,130.15,128.75,129.92,9628296,7876945
30/10/2019,129.69,130.31,129.1535,129.6,10880048,7540460
29/10/2019,130.5,130.77,129.44,129.48,9305072,7150953
28/10/2019,131.45,132.08,130.14,130.53,8940309,6982493
25/10/2019,130.5,131.76,130.03,130.9,6696035,6775968
24/10/2019,131.52,131.7,129.63,130.26,6792298,6783113
23/10/2019,132.45,132.68,130.76,131.13,7075669,6909207
22/10/2019,133.15,133.68,132.1,132.4,10540835,6993734
21/10/2019,131.44,131.73,130.02,130.26,7391094,6691775
18/10/2019,132.37,133.16,130.89,130.89,8695515,6588768
17/10/2019,132.53,133.44,130.51,132.37,8037035,6569262
16/10/2019,129.76,131.83,129.7,130.86,7671898,6823571
15/10/2019,130.01,130.89,129.4,129.76,5937287,6752982
14/10/2019,130.13,130.3,129.48,129.7,3753018,7153185
11/10/2019,130.3,130.99,129.5885,130.02,6809765,7312776
10/10/2019,129.22,130.14,128.88,129.34,4581018,8568126
9/10/2019,129.1,129.85,128.06,129.33,5037437,9101752
8/10/2019,129.9,130.04,128.37,128.47,6778174,9225559
7/10/2019,130.27,131.565,129.04,130.9,5842436,9091011
4/10/2019,128.69,130.44,128.61,130.27,6803210,9123466
3/10/2019,128.6,129.43,127.54,128.15,8683717,9017195
2/10/2019,128.51,129.22,127.57,129.14,8343560,8927209
1/10/2019,130.8,131.78,129.51,129.55,6011451,8897396
30/9/2019,130.35,130.86,129.82,130.32,5845989,9228271
27/9/2019,130.1,131,128.92,129.96,8402934,9202451
26/9/2019,133.14,133.3,129.06,131.27,11851673,8914921
25/9/2019,131.79,133.42,131.22,133.09,6613058,8467825
24/9/2019,134.01,134.15,131.5,131.97,11940337,8313809
23/9/2019,131.99,132.89,131.89,132.46,6146871,7917699
20/9/2019,133.03,133.23,131.6125,132.27,25640028,7882845
19/9/2019,137,137.36,133,133.3,12585398,6609263
18/9/2019,136.41,137.065,135.72,136.8,6894548,6167406
17/9/2019,135.8,136.725,135.67,136.31,4759951,6108793
16/9/2019,136.29,137.2411,135.3,135.8,6329260,6331575
13/9/2019,137.85,138.22,137.11,138.02,5209146,6589470
12/9/2019,136.84,138.67,136.54,137.5,7333931,6706745
11/9/2019,135.56,136.24,134.93,136.19,7896359,6639592
10/9/2019,138.12,138.44,134.58,135.79,10974575,6688429
9/9/2019,139.58,140.08,138.4847,138.83,5458689,6739578
6/9/2019,139.13,139.81,138.25,139.55,4089995,6799250
5/9/2019,138.92,139.27,138.3236,138.84,5145232,7032591
4/9/2019,136.74,138.2,136.39,137.89,4302805,7476087
3/9/2019,136.37,136.42,135.06,136.31,5998686,7735700
30/8/2019,138.29,138.5,136.765,137.26,5624066,7854477
29/8/2019,138.12,138.68,137.42,137.84,6536300,8066998
28/8/2019,134.06,136.73,133.52,136.55,5957541,8568228
27/8/2019,135.77,135.99,134.185,134.49,6015348,10110024
26/8/2019,134.19,134.64,132.55,134.61,8101688,10963593
23/8/2019,135.51,136.44,131.0234,131.67,10197685,11134793
22/8/2019,136.2,136.67,134.69,136.08,6968278,10890884
