Date,Open,High,Low,Adj Close,Volume,SMAVG (15)
29/11/2019,63.26,63.6,63.215,63.48,952764,1062926
27/11/2019,63.28,63.75,63.2,63.72,1584082,1045081
26/11/2019,63,63.2,62.62,63.15,2222821,969992
25/11/2019,61.71,61.95,61.58,61.8,883788,866069
22/11/2019,61.64,61.7,61.17,61.2,610906,847647
21/11/2019,61.1,61.64,60.96,61.52,1153918,847927
20/11/2019,61.72,61.88,61.25,61.48,859623,815521
19/11/2019,62.24,62.32,61.75,61.9,1518390,843835
18/11/2019,63.01,63.01,62.33,62.44,849922,842671
15/11/2019,62,62.2,61.72,62.06,332696,844766
14/11/2019,62.01,62.1,61.34,61.85,431295,868359
13/11/2019,62.58,62.58,62.23,62.29,1110228,888152
12/11/2019,62,62.5,61.91,62.13,1077265,853556
11/11/2019,61.4,61.88,61,61.72,1414122,825075
8/11/2019,60.25,60.57,60.15,60.41,942071,768757
7/11/2019,60.41,60.72,60.22,60.4,685092,778670
6/11/2019,61.04,61.2,60.68,60.73,457741,784637
5/11/2019,61.56,61.57,61.025,61.44,663983,804448
4/11/2019,61.8,61.85,61.34,61.57,607456,823586
1/11/2019,61.27,61.62,61.12,61.44,615103,814221
31/10/2019,61.08,61.09,60.41,60.83,667833,865769
30/10/2019,60.2,61.77,59.86,61.07,1284322,869806
29/10/2019,58.86,59.34,58.83,59.24,1500942,806417
28/10/2019,58.85,59.28,58.69,59.06,881340,753896
25/10/2019,58.23,58.62,58.03,58.51,686591,742899
24/10/2019,59.15,59.15,58.35,58.63,728191,739818
23/10/2019,58.77,58.81,58.24,58.58,591283,747074
22/10/2019,59.48,59.58,58.94,58.97,650055,775406
21/10/2019,59.44,59.58,59.11,59.18,569357,798750
18/10/2019,59.8,59.87,58.6,59.21,1090766,805819
17/10/2019,60.03,60.25,59.76,60.04,774592,833370
16/10/2019,58.5,59.0419,58.49,58.92,754901,837109
15/10/2019,58.19,58.676,58.1471,58.5,951060,889197
14/10/2019,58.14,58.38,57.82,57.84,466983,891962
11/10/2019,58,58.91,58,58.14,1388322,889907
10/10/2019,57.14,57.56,57.065,57.33,728386,839435
9/10/2019,57.78,58.1028,57.69,57.87,333488,834836
