Date,Open,High,Low,Close,Volume,SMAVG (15)
19/3/2019,51.2,51.41,49.6,49.69,31195696,14627249
18/3/2019,51.5,51.82,51.24,51.36,10335707,13263726
15/3/2019,51.84,52.05,51.79,52.01,10363151,13914129
14/3/2019,51.32,51.95,51.15,51.7,27352692,15095328
13/3/2019,51.02,51.23,50.86,51.2,39661460,15659552
12/3/2019,50.65,50.95,50.5,50.88,23448110,13873582
11/3/2019,50.58,50.58,50.36,50.53,8073626,12887788
8/3/2019,50.45,50.59,50.26,50.45,9306464,13007096
7/3/2019,50.59,50.66,50.45,50.59,4655321,13346396
6/3/2019,50.62,50.66,50.47,50.64,7344820,13561820
5/3/2019,50.7,50.7,50.48,50.55,10010161,13391166
4/3/2019,50.87,50.87,50.2,50.64,12119062,13092885
1/3/2019,50.63,50.68,50.4,50.61,6539518,12957062
28/2/2019,50.46,50.55,50.22,50.43,8686817,12882709
27/2/2019,50.75,50.79,50.41,50.41,10316127,12780856
26/2/2019,50.77,50.87,50.6,50.86,10742847,12505116
25/2/2019,51.09,51.27,50.62,50.73,20091764,12074132
22/2/2019,50.73,51.17,50.64,51.17,28081130,11235626
21/2/2019,50.63,50.86,50.34,50.72,35816048,10131748
20/2/2019,50.65,50.79,50.5,50.77,12871911,8401793
19/2/2019,50.43,50.63,50.26,50.53,8661199,8345561
15/2/2019,50.25,50.43,50.06,50.4,9863252,8454811
14/2/2019,49.57,50.05,49.55,50,14395959,8249667
13/2/2019,49.63,49.76,49.59,49.65,7886685,7917615
12/2/2019,49.61,49.65,49.5,49.54,4785005,8183385
11/2/2019,49.71,49.75,49.5,49.55,5535956,8397852
8/2/2019,49.3,49.69,49.3,49.68,10081719,8612100
7/2/2019,49.3,49.51,49.23,49.5,5424223,8672081
6/2/2019,49.33,49.49,49.28,49.43,7159015,9021917
5/2/2019,49.32,49.405,49.23,49.28,6180033,9244247
4/2/2019,49.21,49.35,49.165,49.29,4278087,9445604
1/2/2019,49.3,49.35,49.14,49.29,7514170,9669004
31/1/2019,49.07,49.31,49.01,49.31,11522951,9531858
30/1/2019,49.08,49.16,48.78,49.04,9866723,9169493
29/1/2019,49.28,49.35,48.985,49.1,12028438,9013728
