Date,Open,High,Low,Close,Volume,SMAVG (15)
29/11/2019,643.18,643.95,641.01,641.35,17739640,34372708
27/11/2019,641.1,645.21,640.97,643.82,26953492,36090444
26/11/2019,637.58,640.79,637.58,639.69,60531304,36325916
25/11/2019,636.31,638.63,635.82,637.56,38531300,34130612
22/11/2019,634.63,636.57,632.17,635.02,28170124,33659984
21/11/2019,633.74,637.53,631.24,634.62,31198764,33970424
20/11/2019,638.24,638.24,629.11,633.66,33876496,34861808
19/11/2019,636.87,639.42,635.31,638.24,31499184,35090156
18/11/2019,634.04,638.71,630.37,636.77,42891724,34743696
15/11/2019,630.81,635.81,630.81,634.79,41477176,33806604
14/11/2019,627.62,632.34,626.52,630.67,29913644,33084986
13/11/2019,623.59,628.89,622.24,627.62,34736428,33852404
12/11/2019,621.05,626.99,621.05,624.51,33157100,33432676
11/11/2019,624.23,624.23,620,621.05,27411336,33363322
8/11/2019,619.88,626.5,618.83,624.39,37502932,33370290
7/11/2019,616.94,625.55,616.94,619.85,43505628,33710640
6/11/2019,618.36,618.36,613.44,615.92,30485580,33084496
5/11/2019,619.64,620.18,617.6,618.37,27601764,33115026
4/11/2019,616.42,620.8,616.42,619.15,31471900,32983736
1/11/2019,610.79,615.21,609.52,615.15,32826680,32367888
31/10/2019,607.72,614.47,605.61,609.65,44569536,32386228
30/10/2019,607.39,609.81,604.54,607.73,37301736,31074786
29/10/2019,612.5,614.11,606.33,607.47,26302284,30148114
28/10/2019,607.46,616.05,607.46,613.92,28835320,30353698
25/10/2019,601.24,610.7,601.24,608.12,30652934,30298426
24/10/2019,605.91,607.61,600.33,602.68,41424916,30159272
23/10/2019,600.32,606.48,600.32,605.92,28440504,29662888
22/10/2019,607.22,608.16,599.94,600.29,32116788,30182780
21/10/2019,604.53,607.71,604.53,607.22,27515860,29992176
18/10/2019,611.77,612.88,600.59,603.16,42608152,30143480
17/10/2019,607.84,614.3,607.84,612.33,34113476,29308528
16/10/2019,605.24,608.8,604.28,607.63,30943532,29147650
15/10/2019,596.38,607.66,596.38,606.02,25632432,29287830
14/10/2019,595.95,597.77,594.41,595.96,22234170,30620110
