,DIS US EQUITY,VIA US EQUITY,TWX US EQUITY,CMCSA US EQUITY,TFCFA US EQUITY,LGF/A US EQUITY,SNE US EQUITY
2019:Q4,7/11/2019,14/11/2019,,,,23/5/2019,26/4/2019
2019:Q3,6/8/2019,8/8/2019,,24/10/2019,8/5/2019,7/2/2019,1/2/2019
2019:Q2,8/5/2019,10/5/2019,,25/7/2019,6/2/2019,8/11/2018,30/10/2018
2019:Q1,5/2/2019,5/2/2019,,25/4/2019,7/11/2018,9/8/2018,31/7/2018
2018:Q4,8/11/2018,16/11/2018,,23/1/2019,8/8/2018,24/5/2018,27/4/2018
2018:Q3,7/8/2018,9/8/2018,,25/10/2018,9/5/2018,8/2/2018,2/2/2018
2018:Q2,8/5/2018,25/4/2018,,26/7/2018,7/2/2018,9/11/2017,31/10/2017
2018:Q1,6/2/2018,8/2/2018,26/4/2017,25/4/2018,8/11/2017,8/8/2017,1/8/2017
2017:Q4,9/11/2017,16/11/2017,1/2/2017,24/1/2018,9/8/2017,25/5/2017,28/4/2017
2017:Q3,8/8/2017,3/8/2017,26/10/2017,26/10/2017,10/5/2017,8/2/2017,2/2/2017
2017:Q2,9/5/2017,4/5/2017,2/8/2017,27/7/2017,6/2/2017,3/11/2016,1/11/2016
2017:Q1,7/2/2017,9/2/2017,3/5/2016,27/4/2017,2/11/2016,4/8/2016,29/7/2016
2016:Q4,10/11/2016,9/11/2016,8/2/2016,26/1/2017,3/8/2016,25/5/2016,28/4/2016
2016:Q3,9/8/2016,4/8/2016,2/11/2016,26/10/2016,4/5/2016,4/2/2016,29/1/2016
2016:Q2,10/5/2016,28/4/2016,3/8/2016,27/7/2016,8/2/2016,9/11/2015,29/10/2015
2016:Q1,9/2/2016,9/2/2016,4/5/2015,27/4/2016,4/11/2015,6/8/2015,30/7/2015
2015:Q4,5/11/2015,12/11/2015,10/2/2015,3/2/2016,5/8/2015,21/5/2015,30/4/2015
2015:Q3,4/8/2015,6/8/2015,4/11/2015,27/10/2015,6/5/2015,5/2/2015,17/3/2015
2015:Q2,5/5/2015,30/4/2015,5/8/2015,23/7/2015,4/2/2015,6/11/2014,31/10/2014
2015:Q1,3/2/2015,29/1/2015,29/4/2014,4/5/2015,4/11/2014,7/8/2014,31/7/2014
2014:Q4,6/11/2014,13/11/2014,11/2/2014,24/2/2015,6/8/2014,29/5/2014,14/5/2014
2014:Q3,5/8/2014,6/8/2014,5/11/2014,23/10/2014,7/5/2014,6/2/2014,6/2/2014
2014:Q2,6/5/2014,1/5/2014,6/8/2014,22/7/2014,6/2/2014,8/11/2013,31/10/2013
2014:Q1,5/2/2014,30/1/2014,30/4/2013,22/4/2014,5/11/2013,8/8/2013,1/8/2013
2013:Q4,7/11/2013,14/11/2013,5/2/2013,28/1/2014,6/8/2013,30/5/2013,9/5/2013
2013:Q3,6/8/2013,2/8/2013,6/11/2013,30/10/2013,8/5/2013,11/2/2013,7/2/2013
2013:Q2,7/5/2013,1/5/2013,7/8/2013,31/7/2013,6/2/2013,8/11/2012,1/11/2012
2013:Q1,5/2/2013,31/1/2013,1/5/2012,1/5/2013,6/11/2012,9/8/2012,2/8/2012
2012:Q4,8/11/2012,15/11/2012,6/2/2012,12/2/2013,8/8/2012,30/5/2012,10/5/2012
2012:Q3,7/8/2012,3/8/2012,7/11/2012,26/10/2012,9/5/2012,9/2/2012,2/2/2012
2012:Q2,8/5/2012,3/5/2012,1/8/2012,1/8/2012,8/2/2012,9/11/2011,2/11/2011
2012:Q1,7/2/2012,2/2/2012,2/5/2011,2/5/2012,2/11/2011,9/8/2011,28/7/2011
2011:Q4,10/11/2011,10/11/2011,8/2/2011,15/2/2012,10/8/2011,31/5/2011,26/5/2011
2011:Q3,9/8/2011,5/8/2011,2/11/2011,2/11/2011,4/5/2011,9/2/2011,3/2/2011
2011:Q2,10/5/2011,28/4/2011,3/8/2011,3/8/2011,2/2/2011,9/11/2010,29/10/2010
2011:Q1,8/2/2011,3/2/2011,4/5/2010,3/5/2011,3/11/2010,9/8/2010,29/7/2010
2010:Q4,11/11/2010,11/11/2010,2/2/2010,16/2/2011,4/8/2010,1/6/2010,13/5/2010
2010:Q3,10/8/2010,5/8/2010,3/11/2010,27/10/2010,4/5/2010,9/2/2010,4/2/2010
2010:Q2,11/5/2010,29/4/2010,4/8/2010,28/7/2010,2/2/2010,9/11/2009,30/10/2009
2010:Q1,9/2/2010,11/2/2010,5/5/2009,28/4/2010,4/11/2009,10/8/2009,30/7/2009
2009:Q4,12/11/2009,3/11/2009,3/2/2009,3/2/2010,5/8/2009,1/6/2009,14/5/2009
,,,,,,,
