Video ID,Title,Comment,publishedAt
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,so is is halo,2016-09-08T20:55:15.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Call of Money:Infinite Scams,2016-09-08T07:34:07.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,it's the multiplayer reveal ???,2016-09-02T12:41:29.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,so multi-player is boots to the ground. thank God,2016-09-02T06:10:39.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,ya para qie subes vides call mierda aceptalo battlefield1 te comio vivo ....ya no eres lo de antes activision,2016-08-31T05:48:25.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"Didn't even watched 3 seconds, disliked",2016-08-30T19:55:05.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"You should make a call of duty on the Gulf War with the gulf, desert, A10's, tanks, jets, and oil reserves.",2016-08-29T04:26:59.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"BACK HERE AT THE WATER FRONT PARK IM WITH MY FRIEND JONATHAN, JONATHAN JUST GOT AN AWESOME FACE PAINT WHAT DO U HAVE TO SAY JONATHAN I LIKE TORTLES, ALRIGHT",2016-08-28T05:35:36.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"...takes the series to a broad new setting ...
...Boots on the ground authentic military feel...

...that makes Call of Duty the best shooter out there...",2016-08-26T17:07:21.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Try your best infinity ward,2016-08-25T22:57:55.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,people that give dislike to this vid is salty as a pretzel,2016-08-25T01:42:59.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,all you haters shut up if you dont like the game dont kbow body told you to play its like black ops 3,2016-08-23T15:10:47.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,kurwa,2016-08-22T20:17:34.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,if I was the developers of Call of Duty. I'd just quit my job before I would make these cod games. Cod has died and it's actually quite sad,2016-08-22T14:22:47.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,bo3 is the best,2016-08-22T03:30:24.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,me to,2016-08-20T06:25:29.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"You can get Chewy's explosive crossbow which does 9999999999999 damage with recoil to 739373738 and their is a camo and it is POOP
Bring back old cods!",2016-08-19T00:35:51.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,people whp hate this is likes minecraft and keeps creative mode on xD NOOb,2016-08-18T22:24:22.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,hello im rodolf,2016-08-17T14:54:50.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,There's nothing to hate on this anyways stop riding the hate bandwagon why dislike it and stop making it a thing you think ppl are going to see that you were one of those 3m ppl who disliked the IW trailer,2016-08-17T06:27:48.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,i got the game yay 😀😀😀😀😀😀😀😀😀😀😀😀😀😀🔫🔫🔫🔫💣🎮,2016-08-17T02:50:25.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,8----->~~~,2016-08-17T02:35:28.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"battlefield                                                                  csgo                                                                                 call of duty
<----------------------------------------------------------------------------------------------------------------------------------------------------------------------->

call of duty will go even more into the future 
battlefield will go back to middle ages
csgo will be the same thing with no update except the graphics",2016-08-16T23:18:15.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,wow that lag,2016-08-16T15:31:24.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,WAIT?! This isn't Battlefront 3?!,2016-08-15T16:01:27.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,no Sound=(((((,2016-08-15T15:47:37.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,what is happening,2016-08-14T19:32:05.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"Can you guys send me a free copy and a Xbox one, please",2016-08-12T21:00:13.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,they copy star wars,2016-08-12T17:06:31.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,So does anyone know the kiaoken,2016-08-12T05:38:14.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,bring back modern warfare 3 for ps4 no changes exactly the same,2016-08-12T05:34:32.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,i have this,2016-08-11T09:21:26.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,So hype for titan fall 2!,2016-08-10T07:04:48.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,I im cry,2016-08-10T03:59:10.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,white you con not make in PlayStation 3 yes or no.,2016-08-10T03:55:05.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,WHAT EMOTIONS??,2016-08-09T07:34:29.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,No no no no EW,2016-08-09T04:21:56.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,CAN WE PLEASE GET REINFORCE BACK,2016-08-08T23:46:44.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,the Trailer has one message in it *BUY BATTLEFIELD 1*,2016-08-08T17:37:49.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,srhwheheg,2016-08-08T14:39:22.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,pistul,2016-08-06T19:51:38.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,This has so many dislikes,2016-08-06T06:04:56.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,i will buy this game only for zombies  im BIG zombie fan,2016-08-05T07:16:32.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,we want stuff like call of duty 4,2016-08-04T15:20:40.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,R.I.P call of duty,2016-08-04T15:18:22.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,star wars battlefront 2?,2016-08-03T19:32:54.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Imagine how disappointed the streamers where,2016-08-03T17:04:15.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Call of duty: infinite mistakes,2016-08-03T09:08:30.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,I like wolfs,2016-08-03T08:46:01.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,guess like we're gonna play bo3 for a next 3 years like when ghost was release after bo2,2016-08-03T07:15:55.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,guess like we're gonna play bo3 for a next 3 years like when ghost was release after bo2,2016-08-03T07:15:52.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,u guys gonna loose bare sales there gonna be at least stacks of this garbage on the shelves at the game stores,2016-08-03T07:14:16.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,wow next halo game,2016-08-03T07:12:45.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,is this in 2016,2016-08-03T01:50:31.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,yo man i think it is,2016-08-03T01:50:06.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,make cod great again,2016-08-02T09:53:15.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,well I just wasted 37 minutes,2016-08-02T03:15:27.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Comment if you came to see the dislikes.,2016-08-01T19:26:43.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Good cut! Why waiting 9 minutes??? I don't get it..,2016-07-31T17:04:12.000Z
