publish_time,Video ID,Title,Comment,updatedAt,likeCount;
"2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,""When ";
"monster inc 2: the adventure of boo"",2018-03-13T12:44:20.000Z,0";
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,no se por que pero estoy en 2018 wow :va pasado tiempo :v,2018-03-05T23:24:03.000Z,0;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,now that were men,2018-03-04T14:37:24.000Z,2;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,MOTHAFUCKIN MIKE WAZOWSKI,2018-02-24T18:41:14.000Z,0;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,How about monster inc 2,2018-02-20T03:24:35.000Z,5;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,“I’m officially a college student!” Love Mike.  Also when his pictures aren’t always showing his face. Lol!,2018-02-17T01:23:26.000Z,1;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,will always love this movie !!!,2018-02-04T19:27:23.000Z,0;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,MI is better.,2018-01-14T03:55:28.000Z,0;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,Nice.,2017-12-28T19:02:26.000Z,0;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,0:26 NOW THAT WERE MEEEEEN WE CAN DO ANYTHING,2017-12-21T16:39:07.000Z,3;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,Now that we're men. SpongeBob SquarePants!!!,2017-11-24T04:24:06.000Z,2;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,I just watched this film its absolutly amazing,2017-09-12T03:03:52.000Z,0;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,This is great work haha,2017-09-09T20:33:00.000Z,0;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,16:9!? Is that where I bought my 21:9 monitor for,2017-07-26T20:19:18.000Z,0;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,Mike's college ID XD,2017-06-13T21:18:40.000Z,0;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,one of the greatest movies that i watched ! it's so good and a nice thriller animation movie,2017-06-10T15:20:41.000Z,0;
"2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,""Just watched Monster's inc. and there is a mistake in the storyline. at the beginning, Mike says to Sulley: """"You've been jealous about my looks since the 4th grade""""";
"So it means, they did not just meet in university...."",2017-04-02T18:22:06.000Z,12";
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,NOW THAT WERE MEN,2017-02-12T03:57:40.000Z,68;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,I loved this film. I had a dream about this film but don't know if anyone wants to hear it.,2017-01-21T22:10:15.000Z,25;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,Monster Inc is stil better,2016-12-07T21:14:31.000Z,0;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,MU >>>>> MI,2016-11-12T21:46:38.000Z,5;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,this kinda sucked,2016-10-24T00:27:03.000Z,0;
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,,2016-10-10T07:43:29.000Z,0;
