Classifier,Alpha Value,Cross_Val folds,Prediction Period,Parsing Day range,Score Std,Score average
Ridge Regression,0.01,3,2,1,0.0407473719099759,0.8256424262346619
Ridge Regression,0.02,3,2,1,0.04073515851223198,0.8257595100109119
Ridge Regression,0.03,3,2,1,0.04072393561795723,0.8258746900374639
Ridge Regression,0.04,3,2,1,0.04071368193744064,0.8259880004330968
Ridge Regression,0.05,3,2,1,0.040704376719034596,0.8260994744510542
Ridge Regression,0.06,3,2,1,0.040695999732853,0.8262091445062408
Ridge Regression,0.07,3,2,1,0.04068853125504879,0.8263170422014104
Ridge Regression,0.08,3,2,1,0.040681952052645944,0.8264231983523925
Ridge Regression,0.09,3,2,1,0.04067624336890297,0.8265276430123948
Ridge Regression,0.1,3,2,1,0.04067138690918997,0.8266304054954202
Ridge Regression,0.11,3,2,1,0.04066736482735382,0.826731514398838
Ridge Regression,0.12,3,2,1,0.04066415971255551,0.8268309976251406
Ridge Regression,0.13,3,2,1,0.040661754576559496,0.8269288824029237
Ridge Regression,0.14,3,2,1,0.04066013284145666,0.8270251953071179
Ridge Regression,0.15,3,2,1,0.0406592783278064,0.8271199622785034
Ridge Regression,0.16,3,2,1,0.04065917524317708,0.8272132086425407
Ridge Regression,0.17,3,2,1,0.040659808171075694,0.8273049591275372
Ridge Regression,0.18,3,2,1,0.040661162060242784,0.8273952378821837
Ridge Regression,0.19,3,2,1,0.04066322221431004,0.8274840684924829
Ridge Regression,0.2,3,2,1,0.04066597428179477,0.8275714739980943
Ridge Regression,0.21,3,2,1,0.04066940424642763,0.8276574769081164
Ridge Regression,0.22,3,2,1,0.04067349841779699,0.8277420992163341
Ridge Regression,0.23,3,2,1,0.04067824342229723,0.8278253624159464
Ridge Regression,0.24,3,2,1,0.04068362619437279,0.8279072875137969
Ridge Regression,0.25,3,2,1,0.04068963396804268,0.8279878950441276
Ridge Regression,0.26,3,2,1,0.04069625426870024,0.8280672050818721
Ridge Regression,0.27,3,2,1,0.04070347490517384,0.828145237255507
Ridge Regression,0.28,3,2,1,0.040711283962039393,0.8282220107594794
Ridge Regression,0.29,3,2,1,0.040719669792178344,0.8282975443662238
Ridge Regression,0.3,3,2,1,0.04072862100956975,0.8283718564377871
Ridge Regression,0.31,3,2,1,0.04073812648230711,0.8284449649370732
Ridge Regression,0.32,3,2,1,0.040748175325835446,0.8285168874387261
Ridge Regression,0.33,3,2,1,0.040758756896397824,0.8285876411396579
Ridge Regression,0.34,3,2,1,0.04076986078468321,0.8286572428692424
Ridge Regression,0.35,3,2,1,0.04078147680967317,0.8287257090991828
Ridge Regression,0.36,3,2,1,0.04079359501267399,0.8287930559530624
Ridge Regression,0.37,3,2,1,0.04080620565153254,0.8288592992155994
Ridge Regression,0.38,3,2,1,0.04081929919502817,0.8289244543416036
Ridge Regression,0.39,3,2,1,0.04083286631743257,0.8289885364646583
Ridge Regression,0.4,3,2,1,0.040846897893235125,0.8290515604055289
Ridge Regression,0.41,3,2,1,0.040861384992025934,0.8291135406803107
Ridge Regression,0.42,3,2,1,0.040876318873530666,0.8291744915083262
Ridge Regression,0.43,3,2,1,0.040891690982793646,0.8292344268197791
Ridge Regression,0.44,3,2,1,0.04090749294550317,0.8292933602631747
Ridge Regression,0.45,3,2,1,0.0409237165634544,0.8293513052125143
Ridge Regression,0.46,3,2,1,0.04094035381014542,0.8294082747742716
Ridge Regression,0.47,3,2,1,0.04095739682650215,0.8294642817941592
Ridge Regression,0.48,3,2,1,0.04097483791672627,0.8295193388636917
Ridge Regression,0.49,3,2,1,0.04099266954426481,0.8295734583265526
Ridge Regression,0.5,3,2,1,0.04101088432789439,0.829626652284774
Ridge Regression,0.51,3,2,1,0.041029475037919295,0.8296789326047286
Ridge Regression,0.52,3,2,1,0.04104843459247771,0.8297303109229514
Ridge Regression,0.53,3,2,1,0.04106775605395108,0.8297807986517857
Ridge Regression,0.54,3,2,1,0.041087432625478565,0.8298304069848675
Ridge Regression,0.55,3,2,1,0.04110745764756736,0.8298791469024489
Ridge Regression,0.56,3,2,1,0.041127824594799,0.8299270291765678
Ridge Regression,0.57,3,2,1,0.0411485270726276,0.8299740643760685
Ridge Regression,0.58,3,2,1,0.041169558814268016,0.8300202628714803
Ridge Regression,0.59,3,2,1,0.04119091367766931,0.830065634839754
Ridge Regression,0.6,3,2,1,0.041212585642572026,0.8301101902688665
Ridge Regression,0.61,3,2,1,0.04123456880764781,0.8301539389622912
Ridge Regression,0.62,3,2,1,0.04125685738771535,0.8301968905433497
Ridge Regression,0.63,3,2,1,0.041279445711033924,0.8302390544594328
Ridge Regression,0.64,3,2,1,0.04130232821666928,0.8302804399861109
Ridge Regression,0.65,3,2,1,0.04132549945193257,0.8303210562311247
Ridge Regression,0.66,3,2,1,0.041348954069886104,0.8303609121382708
Ridge Regression,0.67,3,2,1,0.0413726868269183,0.8304000164911741
Ridge Regression,0.68,3,2,1,0.041396692580382144,0.8304383779169632
Ridge Regression,0.69,3,2,1,0.041420966286296795,0.8304760048898404
Ridge Regression,0.7,3,2,1,0.04144550299711068,0.8305129057345565
Ridge Regression,0.71,3,2,1,0.041470297859523386,0.8305490886297928
Ridge Regression,0.72,3,2,1,0.041495346112365175,0.8305845616114486
Ridge Regression,0.73,3,2,1,0.04152064308453199,0.8306193325758437
Ridge Regression,0.74,3,2,1,0.04154618419297383,0.8306534092828343
Ridge Regression,0.75,3,2,1,0.04157196494073739,0.830686799358844
Ridge Regression,0.76,3,2,1,0.041597980915057446,0.8307195102998169
Ridge Regression,0.77,3,2,1,0.041624227785497944,0.830751549474093
Ridge Regression,0.78,3,2,1,0.041650701302142545,0.8307829241252044
Ridge Regression,0.79,3,2,1,0.04167739729382923,0.830813641374602
Ridge Regression,0.8,3,2,1,0.041704311666431855,0.830843708224311
Ridge Regression,0.81,3,2,1,0.04173144040118529,0.8308731315595136
Ridge Regression,0.82,3,2,1,0.04175877955305088,0.8309019181510694
Ridge Regression,0.83,3,2,1,0.04178632524912665,0.8309300746579691
Ridge Regression,0.84,3,2,1,0.04181407368709481,0.8309576076297235
Ridge Regression,0.85,3,2,1,0.041842021133709516,0.830984523508695
Ridge Regression,0.86,3,2,1,0.041870163923321845,0.8310108286323664
Ridge Regression,0.87,3,2,1,0.04189849845644155,0.8310365292355554
Ridge Regression,0.88,3,2,1,0.04192702119833542,0.8310616314525691
Ridge Regression,0.89,3,2,1,0.04195572867765878,0.8310861413193091
Ridge Regression,0.9,3,2,1,0.04198461748512175,0.83111006477532
Ridge Regression,0.91,3,2,1,0.042013684272187816,0.8311334076657889
Ridge Regression,0.92,3,2,1,0.042042925749804595,0.8311561757434941
Ridge Regression,0.93,3,2,1,0.04207233868716532,0.8311783746707072
Ridge Regression,0.94,3,2,1,0.042101919910499636,0.8312000100210463
Ridge Regression,0.95,3,2,1,0.04213166630189542,0.8312210872812842
Ridge Regression,0.96,3,2,1,0.042161574798147375,0.8312416118531146
Ridge Regression,0.97,3,2,1,0.04219164238963354,0.8312615890548715
Ridge Regression,0.98,3,2,1,0.042221866119220304,0.8312810241232099
Ridge Regression,0.99,3,2,1,0.04225224308119048,0.8312999222147458
Classifier,Alpha Value,Cross_Val folds,Prediction Period,Parsing Day range,Score Std,Score average
Ridge Regression,0.01,3,3,2,0.15531402826783838,0.7618530511907392
Ridge Regression,0.02,3,3,2,0.15505458506057454,0.7621164761977952
Ridge Regression,0.03,3,3,2,0.15480139515398633,0.7623743070334535
Ridge Regression,0.04,3,3,2,0.15455424205063903,0.762626713882244
Ridge Regression,0.05,3,3,2,0.15431291801230188,0.7628738604016246
Ridge Regression,0.06,3,3,2,0.1540772236516117,0.763115904018384
Ridge Regression,0.07,3,3,2,0.15384696754538477,0.7633529962095359
Ridge Regression,0.08,3,3,2,0.15362196586828747,0.7635852827686221
Ridge Regression,0.09,3,3,2,0.1534020420456642,0.7638129040582804
Ridge Regression,0.1,3,3,2,0.15318702642439927,0.764035995249877
Ridge Regression,0.11,3,3,2,0.1529767559607556,0.764254686550955
Ridge Regression,0.12,3,3,2,0.15277107392421538,0.7644691034211978
Ridge Regression,0.13,3,3,2,0.15256982961639515,0.7646793667775604
Ridge Regression,0.14,3,3,2,0.1523728781041776,0.7648855931891881
Ridge Regression,0.15,3,3,2,0.152180079966255,0.7650878950626924
Ridge Regression,0.16,3,3,2,0.15199130105232167,0.7652863808183271
Ridge Regression,0.17,3,3,2,0.15180641225421546,0.7654811550575662
Ridge Regression,0.18,3,3,2,0.15162528928833702,0.765672318722563
Ridge Regression,0.19,3,3,2,0.15144781248872533,0.7658599692479306
Ridge Regression,0.2,3,3,2,0.1512738666102053,0.7660442007052634
Ridge Regression,0.21,3,3,2,0.15110334064105677,0.766225103940794
Ridge Regression,0.22,3,3,2,0.15093612762468567,0.7664027667065524
Ridge Regression,0.23,3,3,2,0.15077212448981966,0.7665772737853732
Ridge Regression,0.24,3,3,2,0.15061123188876224,0.7667487071100814
Ridge Regression,0.25,3,3,2,0.1504533540432832,0.7669171458771582
Ridge Regression,0.26,3,3,2,0.150298398597739,0.7670826666551811
Ridge Regression,0.27,3,3,2,0.15014627647904233,0.7672453434883044
Ridge Regression,0.28,3,3,2,0.14999690176312294,0.7674052479950438
Ridge Regression,0.29,3,3,2,0.14985019154754592,0.7675624494625984
Ridge Regression,0.3,3,3,2,0.1497060658299631,0.7677170149369443
Ridge Regression,0.31,3,3,2,0.14956444739210337,0.7678690093089114
Ridge Regression,0.32,3,3,2,0.1494252616890173,0.7680184953964467
Ridge Regression,0.33,3,3,2,0.14928843674331038,0.7681655340232547
Ridge Regression,0.34,3,3,2,0.14915390304411047,0.7683101840939964
Ridge Regression,0.35,3,3,2,0.14902159345053637,0.7684525026662171
Ridge Regression,0.36,3,3,2,0.14889144309943925,0.768592545019163
Ridge Regression,0.37,3,3,2,0.14876338931720673,0.7687303647196396
Ridge Regression,0.38,3,3,2,0.14863737153543047,0.7688660136850579
Ridge Regression,0.39,3,3,2,0.14851333121024513,0.7689995422437984
Ridge Regression,0.4,3,3,2,0.14839121174516098,0.7691309991930311
Ridge Regression,0.41,3,3,2,0.14827095841722365,0.7692604318541024
Ridge Regression,0.42,3,3,2,0.1481525183063339,0.7693878861256139
Ridge Regression,0.43,3,3,2,0.14803584022758318,0.7695134065342971
Ridge Regression,0.44,3,3,2,0.14792087466645762,0.7696370362837867
Ridge Regression,0.45,3,3,2,0.14780757371677172,0.7697588173013971
Ridge Regression,0.46,3,3,2,0.14769589102121047,0.7698787902829854
Ridge Regression,0.47,3,3,2,0.14758578171434847,0.769996994735998
Ridge Regression,0.48,3,3,2,0.1474772023680397,0.7701134690207789
Ridge Regression,0.49,3,3,2,0.14737011093905847,0.7702282503902197
Ridge Regression,0.5,3,3,2,0.14726446671889512,0.7703413750278315
Ridge Regression,0.51,3,3,2,0.14716023028560427,0.7704528780843006
Ridge Regression,0.52,3,3,2,0.1470573634576111,0.7705627937126076
Ridge Regression,0.53,3,3,2,0.1469558292493882,0.7706711551017628
Ridge Regression,0.54,3,3,2,0.14685559182891808,0.7707779945092286
Ridge Regression,0.55,3,3,2,0.14675661647686153,0.7708833432920806
Ridge Regression,0.56,3,3,2,0.14665886954735122,0.7709872319369682
Ridge Regression,0.57,3,3,2,0.14656231843034592,0.7710896900889194
Ridge Regression,0.58,3,3,2,0.14646693151546936,0.7711907465790523
Ridge Regression,0.59,3,3,2,0.1463726781572698,0.7712904294512254
Ridge Regression,0.6,3,3,2,0.14627952864184132,0.7713887659876869
Ridge Regression,0.61,3,3,2,0.1461874541547427,0.771485782733755
Ridge Regression,0.62,3,3,2,0.14609642675016055,0.7715815055215763
Ridge Regression,0.63,3,3,2,0.1460064193212612,0.7716759594930008
Ridge Regression,0.64,3,3,2,0.14591740557168198,0.7717691691216082
Ridge Regression,0.65,3,3,2,0.1458293599881106,0.7718611582339231
Ridge Regression,0.66,3,3,2,0.1457422578139088,0.7719519500298526
Ridge Regression,0.67,3,3,2,0.1456560750237334,0.7720415671023796
Ridge Regression,0.68,3,3,2,0.14557078829911604,0.7721300314565397
Ridge Regression,0.69,3,3,2,0.14548637500495706,0.7722173645277132
Ridge Regression,0.7,3,3,2,0.14540281316689804,0.7723035871992613
Ridge Regression,0.71,3,3,2,0.1453200814495374,0.772388719819531
Ridge Regression,0.72,3,3,2,0.1452381591354498,0.7724727822182542
Ridge Regression,0.73,3,3,2,0.14515702610498096,0.7725557937223678
Ridge Regression,0.74,3,3,2,0.14507666281678347,0.7726377731712754
Ridge Regression,0.75,3,3,2,0.1449970502890635,0.7727187389315749
Ridge Regression,0.76,3,3,2,0.14491817008150903,0.7727987089112719
Ridge Regression,0.77,3,3,2,0.14484000427787436,0.7728777005734987
Ridge Regression,0.78,3,3,2,0.144762535469192,0.7729557309497613
Ridge Regression,0.79,3,3,2,0.1446857467375865,0.7730328166527292
Ridge Regression,0.8,3,3,2,0.1446096216406686,0.7731089738885876
Ridge Regression,0.81,3,3,2,0.14453414419648425,0.7731842184689706
Ridge Regression,0.82,3,3,2,0.14445929886899814,0.7732585658224865
Ridge Regression,0.83,3,3,2,0.144385070554088,0.7733320310058583
Ridge Regression,0.84,3,3,2,0.14431144456603448,0.7734046287146867
Ridge Regression,0.85,3,3,2,0.14423840662448156,0.7734763732938541
Ridge Regression,0.86,3,3,2,0.14416594284185316,0.7735472787475833
Ridge Regression,0.87,3,3,2,0.144094039711206,0.7736173587491623
Ridge Regression,0.88,3,3,2,0.14402268409450344,0.7736866266503489
Ridge Regression,0.89,3,3,2,0.14395186321129363,0.7737550954904648
Ridge Regression,0.9,3,3,2,0.14388156462777504,0.7738227780051958
Ridge Regression,0.91,3,3,2,0.14381177624623698,0.7738896866351022
Ridge Regression,0.92,3,3,2,0.14374248629485903,0.7739558335338561
Ridge Regression,0.93,3,3,2,0.14367368331785654,0.7740212305762121
