Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,9,8,7,0.009099025072932481,0.5128395061728396
Knn Classifier,0.1,3,10,8,7,0.02721667198969278,0.576980056980057
Knn Classifier,0.1,3,11,8,7,0.03968096331894111,0.5646343779677113
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,9,8,0.042501707614065555,0.5010066476733144
Knn Classifier,0.1,3,2,9,8,0.10542348793440448,0.44972459639126305
Knn Classifier,0.1,3,3,9,8,0.050173261706716495,0.48569800569800564
Knn Classifier,0.1,3,4,9,8,0.04067306554178167,0.499031339031339
Knn Classifier,0.1,3,5,9,8,0.05682092371946919,0.5266856600189933
Knn Classifier,0.1,3,6,9,8,0.0728915471970433,0.5523646723646723
Knn Classifier,0.1,3,7,9,8,0.09252533559450794,0.55335232668566
Knn Classifier,0.1,3,8,9,8,0.11198227971499371,0.490636277302944
Knn Classifier,0.1,3,9,9,8,0.09661027985840104,0.4640075973409307
Knn Classifier,0.1,3,10,9,8,0.10996472267294544,0.5281861348528015
Knn Classifier,0.1,3,11,9,8,0.0728915471970433,0.5523646723646723
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,10,9,0.037422633722644774,0.4761904761904762
Knn Classifier,0.1,3,2,10,9,0.0174184201506399,0.38428571428571434
Knn Classifier,0.1,3,3,10,9,0.023454495916237626,0.5119047619047619
Knn Classifier,0.1,3,4,10,9,0.06899669715056711,0.5757142857142857
Knn Classifier,0.1,3,5,10,9,0.11592475470249859,0.48380952380952386
Knn Classifier,0.1,3,6,10,9,0.1071354494793735,0.5090476190476191
Knn Classifier,0.1,3,7,10,9,0.08773284535563072,0.520952380952381
Knn Classifier,0.1,3,8,10,9,0.06573843586603942,0.5252380952380952
Knn Classifier,0.1,3,9,10,9,0.05180199525132349,0.511904761904762
Knn Classifier,0.1,3,10,10,9,0.06631540112450393,0.5519047619047619
Knn Classifier,0.1,3,11,10,9,0.05944566298791328,0.5238095238095238
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,11,10,0.06396503131497999,0.5276353276353276
Knn Classifier,0.1,3,2,11,10,0.06556159680310322,0.4466856600189934
Knn Classifier,0.1,3,3,11,10,0.009205762617667548,0.5641595441595442
Knn Classifier,0.1,3,4,11,10,0.08376556762318524,0.5627350427350427
Knn Classifier,0.1,3,5,11,10,0.05426218933731517,0.48621082621082623
Knn Classifier,0.1,3,6,11,10,0.09311799312354714,0.5518898385565052
Knn Classifier,0.1,3,7,11,10,0.05570970084531766,0.5380436847103515
Knn Classifier,0.1,3,8,11,10,0.040908744508100954,0.5518518518518518
Knn Classifier,0.1,3,9,11,10,0.040908744508100954,0.5518518518518518
Knn Classifier,0.1,3,10,11,10,0.027430767304776456,0.5770180436847103
Knn Classifier,0.1,3,11,11,10,0.04540391761126135,0.5256980056980057
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,13,12,0.080842236203591,0.5661728395061729
Knn Classifier,0.1,3,2,13,12,0.04067306554178167,0.500968660968661
Knn Classifier,0.1,3,3,13,12,0.10996472267294544,0.5281861348528015
Knn Classifier,0.1,3,4,13,12,0.11809751545769102,0.5899145299145299
Knn Classifier,0.1,3,5,13,12,0.13631625955789753,0.5148907882241215
Knn Classifier,0.1,3,6,13,12,0.1066588979132655,0.5652231718898385
Knn Classifier,0.1,3,7,13,12,0.09340972770049664,0.5918518518518519
Knn Classifier,0.1,3,8,13,12,0.12108721962107336,0.54005698005698
Knn Classifier,0.1,3,9,13,12,0.08171237295387196,0.5385565052231719
Knn Classifier,0.1,3,10,13,12,0.06352450983143014,0.512877492877493
Knn Classifier,0.1,3,11,13,12,0.05755893979277752,0.5651851851851851
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,15,14,0.0887942776170954,0.5010446343779678
Knn Classifier,0.1,3,2,15,14,0.0536061991076876,0.4752896486229819
Knn Classifier,0.1,3,3,15,14,0.05319307970756771,0.5656600189933524
Knn Classifier,0.1,3,4,15,14,0.07582217140502966,0.60320987654321
Knn Classifier,0.1,3,5,15,14,0.02729707521879747,0.5385185185185185
Knn Classifier,0.1,3,6,15,14,0.058138580115014604,0.5775308641975309
Knn Classifier,0.1,3,7,15,14,0.07582217140502966,0.60320987654321
Knn Classifier,0.1,3,8,15,14,0.1066588979132655,0.5652231718898385
Knn Classifier,0.1,3,9,15,14,0.07442594973562293,0.5400189933523266
Knn Classifier,0.1,3,10,15,14,0.08179289977466202,0.5770560303893637
Knn Classifier,0.1,3,11,15,14,0.09311799312354714,0.5518898385565052
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,17,16,0.031963628163542854,0.5118518518518519
Knn Classifier,0.1,3,2,17,16,0.042501707614065555,0.5010066476733144
Knn Classifier,0.1,3,3,17,16,0.10526815663423361,0.5020322886989553
Knn Classifier,0.1,3,4,17,16,0.12076533219266927,0.5277113010446345
Knn Classifier,0.1,3,5,17,16,0.09164838269623053,0.5148528015194681
Knn Classifier,0.1,3,6,17,16,0.08877090976537294,0.5271984805318138
Knn Classifier,0.1,3,7,17,16,0.10430143356166409,0.5143779677113011
Knn Classifier,0.1,3,8,17,16,0.10370796494520299,0.47587844254510925
Knn Classifier,0.1,3,9,17,16,0.09164838269623053,0.5148528015194681
Knn Classifier,0.1,3,10,17,16,0.1090579832952377,0.48968660968660965
Knn Classifier,0.1,3,11,17,16,0.040908744508100954,0.5518518518518518
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,19,18,0.061457739974505814,0.4737654320987654
Knn Classifier,0.1,3,2,19,18,0.01573771454812587,0.42283950617283955
Knn Classifier,0.1,3,3,19,18,0.10423237525165607,0.49228395061728397
Knn Classifier,0.1,3,4,19,18,0.08327615779772865,0.4506172839506173
Knn Classifier,0.1,3,5,19,18,0.1406439183958574,0.5200617283950617
Knn Classifier,0.1,3,6,19,18,0.07722219755059759,0.5154320987654321
Knn Classifier,0.1,3,7,19,18,0.054908786650176525,0.4768518518518518
Knn Classifier,0.1,3,8,19,18,0.1280213280984947,0.5324074074074074
Knn Classifier,0.1,3,9,19,18,0.0778671346391535,0.5169753086419753
Knn Classifier,0.1,3,10,19,18,0.09445150461789728,0.58179012345679
Knn Classifier,0.1,3,11,19,18,0.09261830918594853,0.5941358024691358
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,21,20,0.04157896875549895,0.4625071225071225
Knn Classifier,0.1,3,2,21,20,0.065162972681829,0.43386514719848046
Knn Classifier,0.1,3,3,21,20,0.05609929608080586,0.48818613485280155
Knn Classifier,0.1,3,4,21,20,0.05660916963510409,0.42254510921177585
Knn Classifier,0.1,3,5,21,20,0.1066588979132655,0.5652231718898385
Knn Classifier,0.1,3,6,21,20,0.14528337871989364,0.5124406457739791
Knn Classifier,0.1,3,7,21,20,0.12722434453955891,0.5252611585944919
Knn Classifier,0.1,3,8,21,20,0.12722434453955891,0.5252611585944919
Knn Classifier,0.1,3,9,21,20,0.09252533559450794,0.55335232668566
Knn Classifier,0.1,3,10,21,20,0.06307998561629825,0.5913390313390314
Knn Classifier,0.1,3,11,21,20,0.05523457570600553,0.615042735042735
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,2,1,0.08543045365675389,0.4431818181818181
Knn Classifier,0.1,3,2,2,1,0.07856742013183862,0.4444444444444444
Knn Classifier,0.1,3,3,2,1,0.08784697211229482,0.5032467532467533
Knn Classifier,0.1,3,4,2,1,0.12155975753643052,0.4576118326118325
Knn Classifier,0.1,3,5,2,1,0.05262753072714141,0.5205627705627706
