,Classifier,Alpha Value,Cross_Val folds,Layer Structure,Prediction Period,Parsing Day range,Score Std,Score average
20,MLPClassifier,0.1,3,"(10, 30, 10)",5,3,0.053252489748359125,0.5652380952380952
21,MLPClassifier,0.1,3,"(10, 30, 20)",5,3,0.16710554460743887,0.49380952380952375
22,MLPClassifier,0.1,3,"(10, 30, 30)",5,3,0.10296511088206975,0.530952380952381
23,MLPClassifier,0.1,3,"(10, 30, 40)",5,3,0.13180759701316724,0.5190476190476191
24,MLPClassifier,0.1,3,"(10, 30, 50)",5,3,0.043204937989385725,0.54
25,MLPClassifier,0.1,3,"(10, 30, 60)",5,3,0.14847982524033815,0.5457142857142857
26,MLPClassifier,0.1,3,"(10, 30, 70)",5,3,0.09819458676906942,0.5414285714285715
27,MLPClassifier,0.1,3,"(10, 30, 80)",5,3,0.1083142317016358,0.5442857142857144
28,MLPClassifier,0.1,3,"(10, 30, 90)",5,3,0.11905142851047815,0.5190476190476191
29,MLPClassifier,0.1,3,"(10, 30, 100)",5,3,0.0917059285120817,0.5561904761904762
30,MLPClassifier,0.1,3,"(10, 40, 10)",5,3,0.03348943042384239,0.5252380952380952
31,MLPClassifier,0.1,3,"(10, 40, 20)",5,3,0.1257305184325036,0.5042857142857143
32,MLPClassifier,0.1,3,"(10, 40, 30)",5,3,0.11905142851047815,0.5190476190476191
33,MLPClassifier,0.1,3,"(10, 40, 40)",5,3,0.0356157370501241,0.4376190476190476
34,MLPClassifier,0.1,3,"(10, 40, 50)",5,3,0.13305412943815093,0.5057142857142858
35,MLPClassifier,0.1,3,"(10, 40, 60)",5,3,0.0882508278532278,0.5680952380952382
36,MLPClassifier,0.1,3,"(10, 40, 70)",5,3,0.007407785326716196,0.4747619047619048
37,MLPClassifier,0.1,3,"(10, 40, 80)",5,3,0.08716237096112421,0.5428571428571428
38,MLPClassifier,0.1,3,"(10, 40, 90)",5,3,0.10090969447931798,0.5176190476190476
39,MLPClassifier,0.1,3,"(10, 40, 100)",5,3,0.06825655218438575,0.4776190476190476
40,MLPClassifier,0.1,3,"(10, 50, 10)",5,3,0.1083142317016358,0.5442857142857144
41,MLPClassifier,0.1,3,"(10, 50, 20)",5,3,0.08971863299547071,0.5176190476190476
42,MLPClassifier,0.1,3,"(10, 50, 30)",5,3,0.107869493668966,0.5280952380952382
43,MLPClassifier,0.1,3,"(10, 50, 40)",5,3,0.08971863299547071,0.5176190476190476
44,MLPClassifier,0.1,3,"(10, 50, 50)",5,3,0.09002896989025885,0.5161904761904762
45,MLPClassifier,0.1,3,"(10, 50, 60)",5,3,0.09143105155366321,0.5547619047619048
46,MLPClassifier,0.1,3,"(10, 50, 70)",5,3,0.1257305184325036,0.5042857142857143
47,MLPClassifier,0.1,3,"(10, 50, 80)",5,3,0.07126011882636316,0.490952380952381
48,MLPClassifier,0.1,3,"(10, 50, 90)",5,3,0.07003724308895327,0.5161904761904762
49,MLPClassifier,0.1,3,"(10, 50, 100)",5,3,0.10090969447931798,0.5176190476190476
50,MLPClassifier,0.1,3,"(10, 60, 10)",5,3,0.05407645549172722,0.6038095238095238
51,MLPClassifier,0.1,3,"(10, 60, 20)",5,3,0.07003724308895327,0.5161904761904762
52,MLPClassifier,0.1,3,"(10, 60, 30)",5,3,0.07938825058574953,0.5280952380952381
53,MLPClassifier,0.1,3,"(10, 60, 40)",5,3,0.11873100755150279,0.4790476190476191
54,MLPClassifier,0.1,3,"(10, 60, 50)",5,3,0.0733178709734648,0.5414285714285715
55,MLPClassifier,0.1,3,"(10, 60, 60)",5,3,0.11775103448568502,0.5442857142857144
56,MLPClassifier,0.1,3,"(10, 60, 70)",5,3,0.13832984996843684,0.530952380952381
57,MLPClassifier,0.1,3,"(10, 60, 80)",5,3,0.08832017614757812,0.4761904761904761
58,MLPClassifier,0.1,3,"(10, 60, 90)",5,3,0.04109609335312651,0.5533333333333333
59,MLPClassifier,0.1,3,"(10, 60, 100)",5,3,0.10296511088206975,0.530952380952381
60,MLPClassifier,0.1,3,"(10, 70, 10)",5,3,0.0991483004772565,0.4790476190476191
61,MLPClassifier,0.1,3,"(10, 70, 20)",5,3,0.0849195964926867,0.490952380952381
62,MLPClassifier,0.1,3,"(10, 70, 30)",5,3,0.10234661661223976,0.5042857142857143
63,MLPClassifier,0.1,3,"(10, 70, 40)",5,3,0.041910172810834555,0.5014285714285714
64,MLPClassifier,0.1,3,"(10, 70, 50)",5,3,0.08865075812478859,0.4776190476190476
65,MLPClassifier,0.1,3,"(10, 70, 60)",5,3,0.10090969447931798,0.5176190476190476
66,MLPClassifier,0.1,3,"(10, 70, 70)",5,3,0.07118052168020875,0.54
67,MLPClassifier,0.1,3,"(10, 70, 80)",5,3,0.06397632782163999,0.5547619047619047
68,MLPClassifier,0.1,3,"(10, 70, 90)",5,3,0.08716237096112421,0.5428571428571428
69,MLPClassifier,0.1,3,"(10, 70, 100)",5,3,0.086577662303722,0.5295238095238095
70,MLPClassifier,0.1,3,"(10, 80, 10)",5,3,0.10488304684141873,0.5695238095238095
71,MLPClassifier,0.1,3,"(10, 80, 20)",5,3,0.07938825058574953,0.5280952380952381
72,MLPClassifier,0.1,3,"(10, 80, 30)",5,3,0.10105116460724599,0.4923809523809524
73,MLPClassifier,0.1,3,"(10, 80, 40)",5,3,0.08716237096112421,0.5428571428571428
74,MLPClassifier,0.1,3,"(10, 80, 50)",5,3,0.08055363982396384,0.5666666666666668
75,MLPClassifier,0.1,3,"(10, 80, 60)",5,3,0.08529261358390179,0.5042857142857143
76,MLPClassifier,0.1,3,"(10, 80, 70)",5,3,0.0733178709734648,0.5414285714285715
77,MLPClassifier,0.1,3,"(10, 80, 80)",5,3,0.09002896989025885,0.5161904761904762
78,MLPClassifier,0.1,3,"(10, 80, 90)",5,3,0.10234661661223976,0.5042857142857143
79,MLPClassifier,0.1,3,"(10, 80, 100)",5,3,0.13532022992091886,0.5071428571428571
80,MLPClassifier,0.1,3,"(10, 90, 10)",5,3,0.10390995578655893,0.5428571428571428
81,MLPClassifier,0.1,3,"(10, 90, 20)",5,3,0.061956022732535636,0.5161904761904762
82,MLPClassifier,0.1,3,"(10, 90, 30)",5,3,0.13305412943815093,0.5057142857142858
83,MLPClassifier,0.1,3,"(10, 90, 40)",5,3,0.08379870059984358,0.5266666666666667
84,MLPClassifier,0.1,3,"(10, 90, 50)",5,3,0.1026806245481414,0.5561904761904762
85,MLPClassifier,0.1,3,"(10, 90, 60)",5,3,0.11748112213865224,0.530952380952381
86,MLPClassifier,0.1,3,"(10, 90, 70)",5,3,0.13356612331370613,0.5576190476190476
87,MLPClassifier,0.1,3,"(10, 90, 80)",5,3,0.07036348774871289,0.46428571428571425
88,MLPClassifier,0.1,3,"(10, 90, 90)",5,3,0.11591693014343311,0.5057142857142858
89,MLPClassifier,0.1,3,"(10, 90, 100)",5,3,0.07182745765700878,0.5028571428571428
90,MLPClassifier,0.1,3,"(10, 100, 10)",5,3,0.037422633722644774,0.4761904761904762
91,MLPClassifier,0.1,3,"(10, 100, 20)",5,3,0.034608271067822126,0.5519047619047619
92,MLPClassifier,0.1,3,"(10, 100, 30)",5,3,0.1257305184325036,0.5042857142857143
93,MLPClassifier,0.1,3,"(10, 100, 40)",5,3,0.1026806245481414,0.5561904761904762
94,MLPClassifier,0.1,3,"(10, 100, 50)",5,3,0.07825767079685385,0.48952380952380947
95,MLPClassifier,0.1,3,"(10, 100, 60)",5,3,0.10234661661223976,0.5042857142857143
96,MLPClassifier,0.1,3,"(10, 100, 70)",5,3,0.07938825058574953,0.5280952380952381
97,MLPClassifier,0.1,3,"(10, 100, 80)",5,3,0.10845440644180392,0.5295238095238095
98,MLPClassifier,0.1,3,"(10, 100, 90)",5,3,0.137010518158891,0.6095238095238095
99,MLPClassifier,0.1,3,"(10, 100, 100)",5,3,0.13136817107610993,0.49380952380952375
100,MLPClassifier,0.1,3,"(20, 10, 10)",5,3,0.10390995578655893,0.5428571428571428
101,MLPClassifier,0.1,3,"(20, 10, 20)",5,3,0.08971863299547071,0.5176190476190476
102,MLPClassifier,0.1,3,"(20, 10, 30)",5,3,0.086577662303722,0.5295238095238095
103,MLPClassifier,0.1,3,"(20, 10, 40)",5,3,0.086577662303722,0.5295238095238095
104,MLPClassifier,0.1,3,"(20, 10, 50)",5,3,0.1026806245481414,0.5561904761904762
105,MLPClassifier,0.1,3,"(20, 10, 60)",5,3,0.09369463595775501,0.5947619047619047
106,MLPClassifier,0.1,3,"(20, 10, 70)",5,3,0.0733178709734648,0.5414285714285715
107,MLPClassifier,0.1,3,"(20, 10, 80)",5,3,0.13356612331370613,0.5576190476190476
108,MLPClassifier,0.1,3,"(20, 10, 90)",5,3,0.10296511088206975,0.530952380952381
109,MLPClassifier,0.1,3,"(20, 10, 100)",5,3,0.08971863299547071,0.5176190476190476
110,MLPClassifier,0.1,3,"(20, 20, 10)",5,3,0.07040214900863476,0.5014285714285714
111,MLPClassifier,0.1,3,"(20, 20, 20)",5,3,0.08716237096112421,0.5428571428571428
112,MLPClassifier,0.1,3,"(20, 20, 30)",5,3,0.13476779391473317,0.5295238095238095
113,MLPClassifier,0.1,3,"(20, 20, 40)",5,3,0.09002896989025885,0.5161904761904762
114,MLPClassifier,0.1,3,"(20, 20, 50)",5,3,0.08971863299547071,0.5176190476190476
115,MLPClassifier,0.1,3,"(20, 20, 60)",5,3,0.086577662303722,0.5295238095238095
116,MLPClassifier,0.1,3,"(20, 20, 70)",5,3,0.1054888200543668,0.5814285714285715
117,MLPClassifier,0.1,3,"(20, 20, 80)",5,3,0.12580083600730185,0.5028571428571428
118,MLPClassifier,0.1,3,"(20, 20, 90)",5,3,0.13324486861165752,0.5323809523809525
119,MLPClassifier,0.1,3,"(20, 20, 100)",5,3,0.10845440644180392,0.5295238095238095
120,MLPClassifier,0.1,3,"(20, 30, 10)",5,3,0.09819458676906942,0.5414285714285715
121,MLPClassifier,0.1,3,"(20, 30, 20)",5,3,0.10090969447931798,0.5176190476190476
122,MLPClassifier,0.1,3,"(20, 30, 30)",5,3,0.07003724308895327,0.5161904761904762
123,MLPClassifier,0.1,3,"(20, 30, 40)",5,3,0.1083142317016358,0.5442857142857144
124,MLPClassifier,0.1,3,"(20, 30, 50)",5,3,0.11775103448568502,0.5442857142857144
125,MLPClassifier,0.1,3,"(20, 30, 60)",5,3,0.11775103448568502,0.5442857142857144
126,MLPClassifier,0.1,3,"(20, 30, 70)",5,3,0.12020579481279582,0.5176190476190476
127,MLPClassifier,0.1,3,"(20, 30, 80)",5,3,0.04714045207910316,0.5666666666666668
128,MLPClassifier,0.1,3,"(20, 30, 90)",5,3,0.061956022732535636,0.5161904761904762
129,MLPClassifier,0.1,3,"(20, 30, 100)",5,3,0.10090969447931798,0.5176190476190476
130,MLPClassifier,0.1,3,"(20, 40, 10)",5,3,0.11775103448568502,0.5442857142857144
131,MLPClassifier,0.1,3,"(20, 40, 20)",5,3,0.1269867063230102,0.570952380952381
132,MLPClassifier,0.1,3,"(20, 40, 30)",5,3,0.05500772982169013,0.5028571428571429
133,MLPClassifier,0.1,3,"(20, 40, 40)",5,3,0.10090969447931798,0.5176190476190476
134,MLPClassifier,0.1,3,"(20, 40, 50)",5,3,0.09002896989025885,0.5161904761904762
135,MLPClassifier,0.1,3,"(20, 40, 60)",5,3,0.08529261358390179,0.5042857142857143
136,MLPClassifier,0.1,3,"(20, 40, 70)",5,3,0.11775103448568502,0.5442857142857144
137,MLPClassifier,0.1,3,"(20, 40, 80)",5,3,0.07322812490187082,0.5295238095238095
138,MLPClassifier,0.1,3,"(20, 40, 90)",5,3,0.11775103448568502,0.5442857142857144
139,MLPClassifier,0.1,3,"(20, 40, 100)",5,3,0.13832984996843684,0.530952380952381
