publish_time,video_ID,Title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
2016-05-24T13:18:08.000Z,0tkLUap7oGQ,"Finding Dory Official Trailer #2 (2016) - Ellen DeGeneres, Albert Brooks Movie HD",5182740,23873,901,0,1614
2016-04-25T19:38:27.000Z,17SGrfN6IGA,X-Men: Apocalypse - Official Domestic Trailer #4,91751,2681,79,0,406
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,23892323,212934,7535,0,23999
2016-03-22T22:32:03.000Z,GQR5zsLHbYw,The Nice Guys - Main Trailer [HD],8530779,18152,645,0,1075
2015-12-14T16:03:45.000Z,XRVD32rnzOw,Star Trek Beyond - Trailer (2016) - Paramount Pictures,18853055,67708,26922,0,19398
2015-12-13T20:39:47.000Z,LbduDRH2m2M,Independence Day: Resurgence | Official Trailer [HD] | 20th Century FOX,26856839,96135,6215,0,14977
2015-12-10T01:30:01.000Z,qoWqNuHrK0E,The Legend of Tarzan - Official Trailer #1,27517,356,26,0,96
2015-11-25T05:15:53.000Z,uVdV-lxRPFo,Captain America: Civil War - Trailer World Premiere,60367178,356830,11078,0,55587
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,6801623,34081,888,0,2011
2015-10-09T15:00:05.000Z,kMqeoW3XRa0,"Hail, Caesar! - Official Trailer (HD)",10825087,22545,1985,0,2242
2015-09-15T16:00:03.000Z,HcgJRQWxKnw,The Jungle Book Official US Teaser Trailer,25685827,86805,4785,0,10241
2015-08-05T02:59:22.000Z,FyKWUTwSYAs,Deadpool | Red Band Trailer [HD] | 20th Century FOX,43076502,565197,13646,0,37211
2015-07-21T16:00:00.000Z,O-RgquKVTPE,The Good Dinosaur - Official US Trailer,18739306,44528,3546,0,6278
2015-07-13T20:00:04.000Z,PLLQK9la6Go,Suicide Squad - Comic-Con First Look [HD],70255009,454473,20054,0,54631
2015-07-11T19:09:23.000Z,0WWzgGyAH6Y,Batman v Superman: Dawn of Justice - Comic-Con Trailer [HD],74094574,466449,19587,0,93352
2015-06-11T15:58:28.000Z,g9lmhBYB11U,Zootopia US Teaser Trailer,15061033,60364,3466,0,12195
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,8831774,20155,1957,0,1174
2014-11-12T12:56:57.000Z,UoguzoKf7MY,Tinkerbell and the Legend of the Neverbeast Official Trailer #1 (2015) HD,28772,127,5,0,9
2014-07-15T14:50:19.000Z,z3biFxZIJOQ,Disney&#39;s Big Hero 6 - Official US Trailer 1,20125072,54803,3506,0,6671
